paper_id,title,authors,journal,year,volume_issue_pages,doi,paper_url,keywords,abstract,appendix_url,replication_url,license_or_terms,access_date,screening_status,screening_notes,auto_dsge_strong_label,auto_dsge_strong_evidence,auto_dsge_broad_label,auto_dsge_broad_evidence,auto_dsge_review_priority,article_type,is_research_article,exclusion_reason,publisher,source_host,published_date,jel_codes,jel_source,provider_keywords,openalex_concepts,openalex_topics,pdf_url,html_url,open_access_status,best_oa_location,oa_source,supplement_url,supplement_source,code_url,data_url,replication_source,author_affiliations,referenced_works_count,cited_by_count,abstract_source,keywords_source,crossref_url,openalex_id,scopus_eid,elsevier_pii,metadata_notes
aejmacro_2015_curtis_demographic_patterns_household_saving_china,Demographic Patterns and Household Saving in China,"Curtis, Chadwick C.; Lugauer, Steven; Mark, Nelson C.",American Economic Journal: Macroeconomics,2015,7(2):58-94,10.1257/mac.20130105,https://doi.org/10.1257/mac.20130105,China; Demographic economics; Demographic change; Economics; Econometrics; Demography; Geography; Population; Archaeology; Sociology,"This paper studies how demographic variation affects the aggregate household saving rate. We focus on China because it is experiencing an historic demographic transition and has had a massive increase in household saving. We conduct a quantitative investigation using a structural overlapping generations model that incorporates parental care through support for dependent children and financial transfers to retirees. The saving decisions in the parameterized model mimic many of the features observed in the Chinese household saving rate time series from 1955 to 2009. Demographic change alone accounts for over half of the saving rate increase. (JEL D12, D91, E21, J11, O12, O16, P36)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,overlapping generations@abstract,broad_match,overlapping generations@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-04-01,,,China; Demographic economics; Demographic change; Economics; Econometrics; Demography; Geography; Population; Archaeology; Sociology,China; Demographic economics; Demographic change; Economics; Econometrics; Demography; Geography; Population; Archaeology; Sociology,"Intergenerational Family Dynamics and Caregiving / Sociology and Political Science / Social Sciences; Migration and Labor Dynamics / Sociology and Political Science / Social Sciences; Financial Literacy, Pension, Retirement Analysis / Accounting / Business, Management and Accounting",None,https://doi.org/10.1257/mac.20130105,closed,None,openalex,,,,,,University of Richmond; University of Notre Dame; National Bureau of Economic Research,57,204,crossref,openalex,https://doi.org/10.1257/mac.20130105,https://openalex.org/W2065818919,,,
aejmacro_2015_del_negro_inflation_great_recession_new_keynesian,Inflation in the Great Recession and New Keynesian Models,"Del Negro, Marco; Giannoni, Marc P.; Schorfheide, Frank",American Economic Journal: Macroeconomics,2015,7(1):168-196,10.1257/mac.20140097,https://doi.org/10.1257/mac.20140097,Dynamic stochastic general equilibrium; Economics; Keynesian economics; Recession; Inflation (cosmology); Great recession; New Keynesian economics; Monetary policy; Argument (complex analysis); Macroeconomics; Monetary economics; Business cycle,"Several prominent economists have argued that existing DSGE models cannot properly account for the evolution of key macroeconomic variables during and following the recent Great Recession. We challenge this argument by showing that a standard DSGE model with financial frictions available prior to the recent crisis successfully predicts a sharp contraction in economic activity along with a protracted but relatively modest decline in inflation, following the rise in financial stress in 2008:IV. The model does so even though inflation remains very dependent on the evolution of economic activity and of monetary policy. (JEL E12, E31, E32, E37, E44, E52, G01)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,new keynesian@title | dynamic stochastic general equilibrium@keywords | dsge@abstract,broad_match,new keynesian@title | dynamic stochastic general equilibrium@keywords | dsge@abstract | business cycle@keywords | monetary policy@keywords | financial friction@abstract | monetary policy@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-01-01,,,Dynamic stochastic general equilibrium; Economics; Keynesian economics; Recession; Inflation (cosmology); Great recession; New Keynesian economics; Monetary policy; Argument (complex analysis); Macroeconomics; Monetary economics; Business cycle,Dynamic stochastic general equilibrium; Economics; Keynesian economics; Recession; Inflation (cosmology); Great recession; New Keynesian economics; Monetary policy; Argument (complex analysis); Macroeconomics; Monetary economics; Business cycle; Financial crisis; Theoretical physics; Biochemistry; Chemistry; Physics,"Monetary Policy and Economic Impact / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Economic Theory and Policy / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Global Financial Crisis and Policies / Finance / Economics, Econometrics and Finance",http://www.aeaweb.org/aej/mac/app/0701/2014-0097_app.pdf,https://doi.org/10.1257/mac.20140097,green,http://www.aeaweb.org/aej/mac/app/0701/2014-0097_app.pdf,openalex,,,,,,Federal Reserve Bank of New York; University of Pennsylvania,54,216,crossref,openalex,https://doi.org/10.1257/mac.20140097,https://openalex.org/W3021811462,,,
aejmacro_2015_fernandez_interest_rates_leverage_business_cycles,"Interest Rates, Leverage, and Business Cycles in Emerging Economies: The Role of Financial Frictions","Fernández, Andrés; Gulan, Adam",American Economic Journal: Macroeconomics,2015,7(3):153-188,10.1257/mac.20120141,https://doi.org/10.1257/mac.20120141,Stylized fact; Leverage (statistics); Business cycle; Emerging markets; Interest rate; Economics; Financial accelerator; Panel data; Monetary economics; Macroeconomics; Monetary policy; Dynamic stochastic general equilibrium,"Countercyclical country interest rates have been shown to be an important characteristic of business cycles in emerging markets. In this paper we provide a microfounded rationale for this pattern by linking interest rate spreads to the dynamics of corporate leverage. For this purpose we embed a financial accelerator into a business cycle model of a small open economy and estimate it on a novel panel dataset for emerging economies that merges macroeconomic and financial data. The model accounts well for the empirically observed countercyclicality of interest rates and leverage, as well as for other stylized facts. (JEL E13, E32, E43, E44, F41, O11)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,dynamic stochastic general equilibrium@keywords,broad_match,dynamic stochastic general equilibrium@keywords | financial friction@title | business cycle@title | business cycle@keywords | monetary policy@keywords | business cycle@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-07-01,,,Stylized fact; Leverage (statistics); Business cycle; Emerging markets; Interest rate; Economics; Financial accelerator; Panel data; Monetary economics; Macroeconomics; Monetary policy; Dynamic stochastic general equilibrium,Stylized fact; Leverage (statistics); Business cycle; Emerging markets; Interest rate; Economics; Financial accelerator; Panel data; Monetary economics; Macroeconomics; Monetary policy; Dynamic stochastic general equilibrium; Econometrics; Machine learning; Computer science,"Monetary Policy and Economic Impact / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Global Financial Crisis and Policies / Finance / Economics, Econometrics and Finance; Economic Theory and Policy / General Economics, Econometrics and Finance / Economics, Econometrics and Finance",None,https://doi.org/10.1257/mac.20120141,closed,None,openalex,,,,,,Inter-American Development Bank; Bank of Finland,60,105,crossref,openalex,https://doi.org/10.1257/mac.20120141,https://openalex.org/W3126089209,,,
aejmacro_2015_gilchrist_monetary_policy_real_borrowing_costs,Monetary Policy and Real Borrowing Costs at the Zero Lower Bound,"Gilchrist, Simon; López-Salido, David; Zakrajšek, Egon",American Economic Journal: Macroeconomics,2015,7(1):77-109,10.1257/mac.20130324,https://doi.org/10.1257/mac.20130324,Treasury; Zero lower bound; Economics; Monetary policy; Yield (engineering); Monetary economics; Maturity (psychological); Yield curve; Federal funds; Zero (linguistics); Forward guidance; Interest rate,"This paper compares the effects of conventional monetary policy on real borrowing costs with those of the unconventional measures employed after the target federal funds rate hit the zero lower bound (ZLB). For the ZLB period, we identify two policy surprises: changes in the two-year Treasury yield around policy announcements and changes in the ten-year Treasury yield that are orthogonal to those in the two-year yield. The efficacy of unconventional policy in lowering real borrowing costs is comparable to that of conventional policy, in that it implies a complete pass-through of policy-induced movements in Treasury yields to comparable-maturity private yields. (JEL E31, E43, E44, E52)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,zero lower bound@title | zero lower bound@abstract | zlb@abstract,broad_match,zero lower bound@title | zero lower bound@abstract | zlb@abstract | monetary policy@title | monetary policy@keywords | monetary policy@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-01-01,,,Treasury; Zero lower bound; Economics; Monetary policy; Yield (engineering); Monetary economics; Maturity (psychological); Yield curve; Federal funds; Zero (linguistics); Forward guidance; Interest rate,Treasury; Zero lower bound; Economics; Monetary policy; Yield (engineering); Monetary economics; Maturity (psychological); Yield curve; Federal funds; Zero (linguistics); Forward guidance; Interest rate; Inflation targeting; Credit channel; Archaeology; History; Metallurgy; Materials science; Developmental psychology; Linguistics,"Monetary Policy and Economic Impact / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Credit Risk and Financial Regulations / Finance / Economics, Econometrics and Finance; Banking stability, regulation, efficiency / Finance / Economics, Econometrics and Finance",None,https://doi.org/10.1257/mac.20130324,closed,None,openalex,,,,,,Boston University; Bay State College; Federal Reserve; Federal Reserve Board of Governors,62,154,crossref,openalex,https://doi.org/10.1257/mac.20130324,https://openalex.org/W1993351830,,,
aejmacro_2015_song_sharing_high_growth_across_generations,Sharing High Growth across Generations: Pensions and Demographic Transition in China,"Song, Zheng; Storesletten, Kjetil; Wang, Yikai; Zilibotti, Fabrizio",American Economic Journal: Macroeconomics,2015,7(2):1-39,10.1257/mac.20130322,https://doi.org/10.1257/mac.20130322,Overlapping generations model; Redistribution (election); Economics; Welfare; China; Sustainability; Pension system; Pension; Endogenous growth theory; Growth model; Labour economics; Macroeconomics,"We analyze intergenerational redistribution in emerging economies with the aid of an overlapping generations model with endogenous labor supply. Growth is initially high but declines over time. A version of the model calibrated to China is used to analyze the welfare effects of alternative pension reforms. Although a reform of the current system is necessary to achieve financial sustainability, delaying its implementation implies large welfare gains for the (poorer) current generations, imposing only small costs on (richer) future generations. In contrast, a fully funded reform harms current generations, with small gains to future generations. (JEL E13, H55, J11, O11, O15, P24, P36)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,overlapping generations@keywords | overlapping generations@abstract,broad_match,overlapping generations@keywords | overlapping generations@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-04-01,,,Overlapping generations model; Redistribution (election); Economics; Welfare; China; Sustainability; Pension system; Pension; Endogenous growth theory; Growth model; Labour economics; Macroeconomics,Overlapping generations model; Redistribution (election); Economics; Welfare; China; Sustainability; Pension system; Pension; Endogenous growth theory; Growth model; Labour economics; Macroeconomics; Economic growth; Market economy; Finance; Geography; Biology; Political science; Human capital; Ecology,"Financial Literacy, Pension, Retirement Analysis / Accounting / Business, Management and Accounting; Retirement, Disability, and Employment / Demography / Social Sciences; Global Health Care Issues / General Health Professions / Health Professions",None,https://doi.org/10.1257/mac.20130322,green,http://hdl.handle.net/10852/43558,openalex,,,,,,University of Chicago; University of Oslo; University of Zurich,55,97,crossref,openalex,https://doi.org/10.1257/mac.20130322,https://openalex.org/W2178568832,,,
aejmacro_2015_moro_structural_change_growth_volatility,"Structural Change, Growth, and Volatility","Moro, Alessio",American Economic Journal: Macroeconomics,2015,7(3):259-294,10.1257/mac.20130057,https://doi.org/10.1257/mac.20130057,Economics; Volatility (finance); Gross domestic product; Real gross domestic product; Monetary economics; Total factor productivity; Per capita; Tertiary sector of the economy; Econometrics; Macroeconomics; Productivity; Economy,"I construct a two-sector general equilibrium model of structural change to study the impact of sectoral composition of gross domestic product (GDP) on cross-country differences in GDP growth and volatility. For an empirically relevant parametrization of sectoral production functions, an increase in the share of services in GDP reduces both aggregate total factor productivity (TFP) growth and volatility, thus reducing GDP growth and volatility. When the model is calibrated to the US manufacturing and service sector, the rise of the service sector occurring as income grows can account for a large fraction of the differences in per capita GDP growth and volatility between high-income economies and upper middle income economies. (JEL E23, E25, E32, L60, L80)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,general equilibrium@abstract,broad_match,general equilibrium@abstract | equilibrium model@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-07-01,,,Economics; Volatility (finance); Gross domestic product; Real gross domestic product; Monetary economics; Total factor productivity; Per capita; Tertiary sector of the economy; Econometrics; Macroeconomics; Productivity; Economy,Economics; Volatility (finance); Gross domestic product; Real gross domestic product; Monetary economics; Total factor productivity; Per capita; Tertiary sector of the economy; Econometrics; Macroeconomics; Productivity; Economy; Population; Sociology; Demography,"Economic Growth and Productivity / Economics and Econometrics / Economics, Econometrics and Finance; Fiscal Policy and Economic Growth / Economics and Econometrics / Economics, Econometrics and Finance; Economic theories and models / Economics and Econometrics / Economics, Econometrics and Finance",None,https://doi.org/10.1257/mac.20130057,closed,None,openalex,,,,,,University of Cagliari,46,57,crossref,openalex,https://doi.org/10.1257/mac.20130057,https://openalex.org/W2120133008,,,
aejmacro_2015_christiano_understanding_great_recession,Understanding the Great Recession,"Christiano, Lawrence J.; Eichenbaum, Martin S.; Trabandt, Mathias",American Economic Journal: Macroeconomics,2015,7(1):110-167,10.1257/mac.20140104,https://doi.org/10.1257/mac.20140104,Economics; Recession; Inflation (cosmology); Monetary economics; Zero lower bound; Nominal interest rate; Keynesian economics; Business cycle; Productivity; Constraint (computer-aided design); New Keynesian economics; Capital (architecture),"We argue that the vast bulk of movements in aggregate real economic activity during the Great Recession were due to financial frictions. We reach this conclusion by looking through the lens of an estimated New Keynesian model in which firms face moderate degrees of price rigidities, no nominal rigidities in wages, and a binding zero lower bound constraint on the nominal interest rate. Our model does a good job of accounting for the joint behavior of labor and goods markets, as well as inflation, during the Great Recession. According to the model the observed fall in total factor productivity and the rise in the cost of working capital played critical roles in accounting for the small drop in inflation that occurred during the Great Recession. (JEL E12, E23, E24, E31, E32, E52)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,new keynesian@abstract | estimated new keynesian model@abstract | zero lower bound@abstract,broad_match,new keynesian@abstract | estimated new keynesian model@abstract | zero lower bound@abstract | business cycle@keywords | financial friction@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-01-01,,,Economics; Recession; Inflation (cosmology); Monetary economics; Zero lower bound; Nominal interest rate; Keynesian economics; Business cycle; Productivity; Constraint (computer-aided design); New Keynesian economics; Capital (architecture),Economics; Recession; Inflation (cosmology); Monetary economics; Zero lower bound; Nominal interest rate; Keynesian economics; Business cycle; Productivity; Constraint (computer-aided design); New Keynesian economics; Capital (architecture); Macroeconomics; Monetary policy; Real interest rate; Archaeology; History; Physics; Engineering; Mechanical engineering,"Economic Theory and Policy / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Monetary Policy and Economic Impact / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Economic theories and models / Economics and Econometrics / Economics, Econometrics and Finance",https://www.aeaweb.org/articles/pdf/doi/10.1257/mac.20140104,https://doi.org/10.1257/mac.20140104,bronze,https://www.aeaweb.org/articles/pdf/doi/10.1257/mac.20140104,openalex,,,,,,Northwestern University; Federal Reserve; Federal Reserve Board of Governors,64,188,crossref,openalex,https://doi.org/10.1257/mac.20140104,https://openalex.org/W2055344690,,,
aer_2015_chatterjee_seniority_arrangement_sovereign_debt,A Seniority Arrangement for Sovereign Debt,"Chatterjee, Satyajit; Eyigungor, Burcu",American Economic Review,2015,105(12):3740-3765,10.1257/aer.20130932,https://doi.org/10.1257/aer.20130932,Sovereign default; Seniority; Economics; Debt; Default; Commit; Creditor; Monetary economics; Senior debt; Sovereignty; Internal debt; Recourse debt,"A sovereign’s inability to commit to a course of action regarding future borrowing and default behavior makes long-term debt costly (the problem of debt dilution). One mechanism to mitigate this problem is the inclusion of a seniority clause in debt contracts. In the event of default, creditors are to be paid off in the order in which they lent (the “absolute priority” or “first-in-time” rule). In this paper, we propose a modification of the absolute priority rule suited to sovereign debts contracts and analyze its positive and normative implications within a quantitatively realistic model of sovereign debt and default. (JEL E32, E44, F34, G15, H63, O16, O19)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,sovereign default@keywords,broad_match,sovereign default@keywords,high,journal-article,true,,American Economic Association,doi.org,2015-12-01,,,Sovereign default; Seniority; Economics; Debt; Default; Commit; Creditor; Monetary economics; Senior debt; Sovereignty; Internal debt; Recourse debt,Sovereign default; Seniority; Economics; Debt; Default; Commit; Creditor; Monetary economics; Senior debt; Sovereignty; Internal debt; Recourse debt; Debt levels and flows; Sovereign debt; Finance; Computer science; Politics; Law; Political science; Database,"Global Financial Crisis and Policies / Finance / Economics, Econometrics and Finance; Credit Risk and Financial Regulations / Finance / Economics, Econometrics and Finance; State Capitalism and Financial Governance / Strategy and Management / Business, Management and Accounting",https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20130932,https://doi.org/10.1257/aer.20130932,bronze,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20130932,openalex,,,,,,Federal Reserve Bank of Philadelphia,33,39,crossref,openalex,https://doi.org/10.1257/aer.20130932,https://openalex.org/W3124184714,,,
aer_2015_coeurdacier_credit_constraints_growth_global_economy,Credit Constraints and Growth in a Global Economy,"Coeurdacier, Nicolas; Guibaud, Stéphane; Jin, Keyu",American Economic Review,2015,105(9):2838-2881,10.1257/aer.20130549,https://doi.org/10.1257/aer.20130549,Economics; Overlapping generations model; Divergence (linguistics); China; Capital (architecture); Growth model; Interest rate; Private consumption; World economy; Monetary economics; Emerging markets; Macroeconomics,"We show that in an open-economy OLG model, the interaction between growth differentials and household credit constraints—more severe in fast-growing countries—can explain three prominent global trends: a divergence in private saving rates between advanced and emerging economies, large net capital outflows from the latter, and a sustained decline in the world interest rate. Micro-level evidence on the evolution of age-saving profiles in the US and China corroborates our mechanism. Quantitatively, our model explains about a third of the divergence in aggregate saving rates, and a significant portion of the variations in age-saving profiles across countries and over time. (JEL E21, E22, F21, F32, F41, O16, P24)",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,overlapping generations@keywords | olg@abstract,broad_match,overlapping generations@keywords | olg@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-09-01,,,Economics; Overlapping generations model; Divergence (linguistics); China; Capital (architecture); Growth model; Interest rate; Private consumption; World economy; Monetary economics; Emerging markets; Macroeconomics,Economics; Overlapping generations model; Divergence (linguistics); China; Capital (architecture); Growth model; Interest rate; Private consumption; World economy; Monetary economics; Emerging markets; Macroeconomics; Geography; Political science; Law; Linguistics; Philosophy; Fiscal policy; Archaeology,"Fiscal Policy and Economic Growth / Economics and Econometrics / Economics, Econometrics and Finance; Financial Literacy, Pension, Retirement Analysis / Accounting / Business, Management and Accounting; Economic Growth and Productivity / Economics and Econometrics / Economics, Econometrics and Finance",https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20130549,https://doi.org/10.1257/aer.20130549,bronze,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20130549,openalex,,,,,,Institut d'Etudes Politiques de Paris; London School of Economics and Political Science,78,148,crossref,openalex,https://doi.org/10.1257/aer.20130549,https://openalex.org/W1555648810,,,
aer_2015_bai_demand_shocks_open_economy_puzzles,Demand Shocks and Open Economy Puzzles,"Bai, Yan; RÍos-Rull, José-VÍctor",American Economic Review,2015,105(5):644-649,10.1257/aer.p20151121,https://doi.org/10.1257/aer.p20151121,Economics; Productivity; Consumption (sociology); Business cycle; Matching (statistics); Open economy; Demand shock; Production (economics); Small open economy; Balance of trade; Total factor productivity; Exchange rate,"We pose good markets frictions on top of an otherwise standard two-country international real business cycle (IRBC) model. Shopping for goods takes effort, which prevents perfect matching between customers and producers. An increase in search effort implies increased measured productivity. Demand shocks increase expenditures and search effort simultaneously increasing output, consumption, productivity, and the trade deficit and appreciating the real exchange rate. Thus we solve the Backus-Smith puzzle and we show that the cross country correlation of consumption is higher than that of output. Standard IRBC models cannot account for these puzzles along with movements in TFP.",,,,2026-06-13,candidate,global_pipeline: crossref_universe,strong_match,real business cycle@abstract,broad_match,real business cycle@abstract | shocks@title | business cycle@keywords | shocks@keywords | business cycle@abstract | shocks@abstract,high,journal-article,true,,American Economic Association,doi.org,2015-05-01,,,Economics; Productivity; Consumption (sociology); Business cycle; Matching (statistics); Open economy; Demand shock; Production (economics); Small open economy; Balance of trade; Total factor productivity; Exchange rate,Economics; Productivity; Consumption (sociology); Business cycle; Matching (statistics); Open economy; Demand shock; Production (economics); Small open economy; Balance of trade; Total factor productivity; Exchange rate; Microeconomics; Macroeconomics; Statistics; Sociology; Social science; Mathematics,"Economic theories and models / Economics and Econometrics / Economics, Econometrics and Finance; Monetary Policy and Economic Impact / General Economics, Econometrics and Finance / Economics, Econometrics and Finance; Economic Policies and Impacts / Economics and Econometrics / Economics, Econometrics and Finance",None,https://doi.org/10.1257/aer.p20151121,closed,None,openalex,,,,,,University of Rochester; University of Minnesota,18,35,crossref,openalex,https://doi.org/10.1257/aer.p20151121,https://openalex.org/W2112899546,,,
